# Global annual emissions for CFC-113 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:20:11.846936+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,69.6030558150251,8.577408280715089
1979,6,1979.46,82.51266718128207,8.452918903892812
1980,6,1980.46,98.31480631246116,9.758563749682398
1981,6,1981.46,112.82127628264648,8.554803980564971
1982,6,1982.46,114.89387691892746,9.500061017996295
1983,6,1983.46,124.22447012669751,9.771838765291314
1984,6,1984.46,162.27055163640057,9.930120047052222
1985,6,1985.46,204.74253671895772,11.527627606446421
1986,6,1986.46,215.9540603614067,11.665357961526537
1987,6,1987.46,221.4648197659573,11.746458543786337
1988,6,1988.46,237.6358343468186,12.065065216706135
1989,6,1989.46,239.14417142110224,12.500664501856635
1990,6,1990.46,204.56229934938696,12.55125539586205
1991,6,1991.46,157.85891933026488,12.124108683880175
1992,6,1992.46,126.88430850640299,11.610994588179627
1993,6,1993.46,84.11288729753616,11.367274851722476
1994,6,1994.46,52.352324995923844,10.734933849400978
1995,6,1995.46,41.82885900542535,10.832976906752702
1996,6,1996.46,34.266828697723234,10.743923892889676
1997,6,1997.46,26.889208210929947,9.628496646241077
1998,6,1998.46,22.80273097551726,9.427896046541163
1999,6,1999.46,20.51984429459591,9.85356556463586
2000,6,2000.46,10.240414932960958,9.240930214244226
2001,6,2001.46,8.605055497778128,9.979433888289876
2002,6,2002.46,6.13921419953985,9.744596165438816
2003,6,2003.46,5.834599978254972,9.27019954626507
2004,6,2004.46,6.482895122232873,9.452700929737466
2005,6,2005.46,11.809722399113562,10.00000717080199
2006,6,2006.46,5.893187786512994,10.32748415203598
2007,6,2007.46,8.624801821940123,10.16065625142783
2008,6,2008.46,9.753438297310337,10.832553195952716
2009,6,2009.46,5.654769475834107,9.63703820804431
2010,6,2010.46,3.4517957589063077,10.107306434231544
2011,6,2011.46,1.080253009233121,9.663785975166565
2012,6,2012.46,0.11197649922100156,9.6793554816034
2013,6,2013.46,1.8421998014476912,9.734921835787224
2014,6,2014.46,1.8241446114339404,9.402771344129818
2015,6,2015.46,0.9357544104861651,9.706750023301565
2016,6,2016.46,0.6583750110756926,9.568744267110716
2017,6,2017.46,4.336808689942018e-19,9.048994189688026
2018,6,2018.46,-1.0842021724855044e-19,9.395663015107065
2019,6,2019.46,-3.3610267347050637e-18,11.87178837784797
2020,6,2020.46,3.686287386450715e-18,17.32572495120399
