# Global annual mole fraction for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-27 18:47:57.633726+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,1.2397305819977709,0.10792014338137476
1979,6,1979.46,1.4525008508634174,0.11364756751892367
1980,6,1980.46,1.6951643423869782,0.11446594222243033
1981,6,1981.46,1.9600863175376249,0.11417155771437708
1982,6,1982.46,2.246777714795337,0.11524384076486203
1983,6,1983.46,2.5611510392766488,0.11744460616101152
1984,6,1984.46,2.901149067080631,0.12243739895726728
1985,6,1985.46,3.2691799337116927,0.12908444940327726
1986,6,1986.46,3.672628639782507,0.13750816659225631
1987,6,1987.46,4.104899181206853,0.14833983058376593
1988,6,1988.46,4.551410138665021,0.15816497285947806
1989,6,1989.46,4.9987606413260615,0.1677697483382024
1990,6,1990.46,5.43640799347666,0.179267738121323
1991,6,1991.46,5.8594234189631225,0.19140980007250152
1992,6,1992.46,6.266463675705128,0.2026116199441515
1993,6,1993.46,6.6664607681819,0.21264454387171597
1994,6,1994.46,7.039186608027535,0.22160281141511132
1995,6,1995.46,7.3459535153644895,0.2286298851717077
1996,6,1996.46,7.586874289528816,0.2338207853593183
1997,6,1997.46,7.776112173377921,0.2380214094721496
1998,6,1998.46,7.920491184325012,0.24091731999472246
1999,6,1999.46,8.028638698255063,0.24307709711355763
2000,6,2000.46,8.111737642858433,0.24592307468751515
2001,6,2001.46,8.183764071626156,0.2484843209161311
2002,6,2002.46,8.251264868173058,0.24965892011645055
2003,6,2003.46,8.30764682473461,0.2505367510082745
2004,6,2004.46,8.3388039685233,0.25090061545694503
2005,6,2005.46,8.345225880409433,0.25037099119893375
2006,6,2006.46,8.344073909231861,0.2497072985244522
2007,6,2007.46,8.349024036401516,0.24924680778441366
2008,6,2008.46,8.361576977088555,0.2493799718279939
2009,6,2009.46,8.375986440384077,0.24954715712656284
2010,6,2010.46,8.38346319761418,0.24968294569563113
2011,6,2011.46,8.389815423800131,0.25027161887928695
2012,6,2012.46,8.40508040144344,0.25076412601427867
2013,6,2013.46,8.419622215153042,0.2506566630610737
2014,6,2014.46,8.4354986790788,0.25105158854133724
2015,6,2015.46,8.464216290705581,0.25197823048958756
2016,6,2016.46,8.501160803102977,0.2529104539059926
2017,6,2017.46,8.5456651175145,0.2546350448191543
2018,6,2018.46,8.599328494015259,0.2561028585952341
2019,6,2019.46,8.658734998638993,0.25732743065500085
2020,6,2020.46,8.709564135007241,0.25887910703500644
