# Semihemispheric mole fraction growth rate for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.717777+00:00 
# Units: ppt 
Year,Month,Decimal_date,Semihemispheric_mole_fraction_growth_rate_box0,Semihemispheric_mole_fraction_growth_rate_box1,Semihemispheric_mole_fraction_growth_rate_box2,Semihemispheric_mole_fraction_growth_rate_box3,Semihemispheric_mole_fraction_growth_rate_1-sigma_box0,Semihemispheric_mole_fraction_growth_rate_1-sigma_box1,Semihemispheric_mole_fraction_growth_rate_1-sigma_box2,Semihemispheric_mole_fraction_growth_rate_1-sigma_box3
1977,1,1977.04,-0.026247695822235826,-0.025051176144496957,-0.024391530787972182,-0.025484166306763725,0.028089010141715103,0.01711700758984453,0.011239758805977638,0.012744736721569758
1977,2,1977.12,-0.02524180922922709,-0.024103889700949763,-0.02353257402545863,-0.024599604645519343,0.028487884273414102,0.01617197041963068,0.01071447488760482,0.01253365304675063
1977,3,1977.21,-0.024319300527770704,-0.023222615259969468,-0.02268227654546332,-0.02372298057311616,0.028657397347467636,0.015553385551138317,0.010060175699945328,0.012214370672503288
1977,4,1977.29,-0.023465353154833304,-0.02239591253245216,-0.021849870676782627,-0.022865473597737752,0.028383529933649256,0.015242217035927874,0.009361303002311052,0.011774807636573124
1977,5,1977.37,-0.022655679968561875,-0.021613248559914953,-0.02104940229509491,-0.02203940279217983,0.027600758139830258,0.01513221102643718,0.008698726600286793,0.011220313298149312
1977,6,1977.46,-0.021864605879095486,-0.02086349679236759,-0.020294424372410733,-0.021255607569215882,0.02640323372765731,0.015084326582664342,0.008108361359934726,0.010559750861004573
1977,7,1977.54,-0.02107656554227451,-0.020135386387442288,-0.019590824843149002,-0.020520566775524045,0.02503544548977082,0.014968743274123583,0.007584475752534836,0.009796530116686096
1977,8,1977.62,-0.020290930589831613,-0.019418938955726214,-0.018933885979599708,-0.019834519963461663,0.023861102294354508,0.014697465446126804,0.007091209604672028,0.008931710055240242
1977,9,1977.71,-0.019518015629728113,-0.018709775170464543,-0.018312549624478938,-0.019191033731871466,0.02327720570433049,0.014255937731880209,0.0066169849174596935,0.007981807451567225
1977,10,1977.79,-0.01877071110110432,-0.01801045507380225,-0.01771647842938596,-0.018578253677886958,0.02356534035544491,0.013711203367927515,0.006175349716887385,0.006984642486588008
1977,11,1977.87,-0.018058364757966537,-0.01733154423015018,-0.017138299059418414,-0.017983148298548017,0.024720840816956306,0.01322269801748139,0.00577251774138093,0.005987901872782709
1977,12,1977.96,-0.017386433862944178,-0.016686381705725877,-0.016572760698059855,-0.017395240976911395,0.02646127207677351,0.012993360562409562,0.0053870681544226535,0.00503256138130479
1978,1,1978.04,-0.01675871585604112,-0.016084568139090975,-0.016014882910003206,-0.01680977997590496,0.028364529746147237,0.013180714764332996,0.004996421158894352,0.004148269256645894
1978,2,1978.12,-0.016177773142902658,-0.015526635687505327,-0.015461798760683368,-0.01622711886471515,0.03005186164179149,0.013808021028041823,0.004639978432729975,0.0033579028154574145
1978,3,1978.21,-0.015642451695357256,-0.01500629275375942,-0.014914336638516663,-0.015651812363582696,0.031276831223478005,0.014761415486925345,0.004411989433710957,0.0026917823495926922
1978,4,1978.29,-0.015144089715025141,-0.01451524602202409,-0.014378294127119906,-0.01509090432431931,0.03191692850028314,0.015873721539915172,0.004389769002635742,0.002200403699997251
1978,5,1978.37,-0.014667483485133567,-0.01404640328607419,-0.013863138972643992,-0.0145523799398403,0.031979486615675075,0.01696951060576943,0.004562616078724613,0.001941713807566333
1978,6,1978.46,-0.014196327211719857,-0.013593018004556034,-0.013377937531500047,-0.014043194456162303,0.03159295184244757,0.017888853694436626,0.004849720864319179,0.001923485785311558
1978,7,1978.54,-0.013721018986725805,-0.013148558928808358,-0.012926463731818815,-0.01356729192808565,0.030984839957527353,0.01850864242199127,0.005162755239541852,0.002076553717250813
1978,8,1978.62,-0.013241948547859242,-0.012707382062476166,-0.012505422183810434,-0.013124397545040637,0.03043865129771625,0.018790390080078084,0.0054388648462079985,0.0023111477782835656
1978,9,1978.71,-0.012766773922081823,-0.012267369714190674,-0.012107451491990051,-0.012709811091734807,0.03022965393751309,0.018785057425894577,0.005641155295886066,0.0025651672270963397
1978,10,1978.79,-0.01230472801823655,-0.01183082810010806,-0.01172582350713705,-0.012315301498302048,0.030548765957962486,0.01859595359291832,0.005747622591785676,0.0027977047761101005
1978,11,1978.87,-0.011862494146739103,-0.011405208184191613,-0.01135564308385102,-0.01193196476310997,0.03139940661492448,0.018359042627964697,0.005756760216123281,0.002974599829818783
1978,12,1978.96,-0.011444058823094724,-0.01099980483327637,-0.010993242964202773,-0.011552700481905454,0.0325877674948976,0.018205157677113653,0.005685003035052724,0.00306549101996265
1979,1,1979.04,-0.011052261294797474,-0.01062141904516673,-0.010635053849263665,-0.0111742998097845,0.033791224968594165,0.018226409474574726,0.005558585765507542,0.0030460295949656727
1979,2,1979.12,-0.010689101285075107,-0.010270621964308991,-0.01027897710913446,-0.010797000328674882,0.03469478731606058,0.01844267140683047,0.005416162655477244,0.0029052007353711344
1979,3,1979.21,-0.010354041981320299,-0.009943187654279479,-0.009925541990190093,-0.01042389254943757,0.03507439186121706,0.01880610789247303,0.005306565246213264,0.002645585922580586
1979,4,1979.29,-0.01004145400067699,-0.009633447151182615,-0.009578710168751954,-0.010059763663065279,0.034800403498222304,0.01923097070505544,0.005277970809179244,0.002284687535335478
1979,5,1979.37,-0.00974127021664694,-0.009336627291218027,-0.009244984230104085,-0.00971004019730299,0.03386158882117397,0.019603094050239918,0.005355815161818565,0.001883398011897244
1979,6,1979.46,-0.009442672005828002,-0.009048309266334289,-0.008930584375215449,-0.009379431543590937,0.032372884295279014,0.019816602323523818,0.005535563529899452,0.0016023724656605157
1979,7,1979.54,-0.009139386014675531,-0.008764278278066723,-0.008638118670893945,-0.009070585046663112,0.030565050526940543,0.01980467433834965,0.0057843778473727295,0.001693974994725743
1979,8,1979.62,-0.008831736073137862,-0.008480896236891263,-0.008365387332951628,-0.00878328030464413,0.028778496134694295,0.019541954168914896,0.006050434422120872,0.0022075163396113417
1979,9,1979.71,-0.008524725568429608,-0.008196788263427103,-0.008107428166787743,-0.008514302187817333,0.027419449145876826,0.019036644647497464,0.006288622686657582,0.0029485159670722583
1979,10,1979.79,-0.00822421357265457,-0.007913422471359096,-0.007859705793238223,-0.008258061041071393,0.0268470351620137,0.018328337935553874,0.006469968160051869,0.0037540710451439076
1979,11,1979.87,-0.007934136438322777,-0.007635616590550746,-0.007618887580864477,-0.008008531787762707,0.02717686900963395,0.017528229652087057,0.0065851199284451805,0.0045283324936799185
1979,12,1979.96,-0.007656447294755604,-0.007369343402830518,-0.00738242611485266,-0.007760924904384878,0.028210319330904694,0.01680529094611599,0.006621823187256629,0.005202920978453185
1980,1,1980.04,-0.007392206020604345,-0.007118790174250909,-0.007147803002732795,-0.0075130902184841,0.029532997737051696,0.01632939252472755,0.006558768620876971,0.005717533775329013
1980,2,1980.12,-0.0071417868294842415,-0.006883877538324695,-0.0069135257695711,-0.0072651969282811,0.030716618795054343,0.016199803008414424,0.006402113546637585,0.006025555180663468
1980,3,1980.21,-0.006903708791428176,-0.006661235242317101,-0.006679888955595037,-0.007019312468698372,0.031446523203273985,0.016397418666950745,0.006196279435557389,0.006098726952090777
1980,4,1980.29,-0.006672908189977219,-0.006446474233544247,-0.006449491400199653,-0.0067786081045945485,0.0315311825621043,0.016810527683579508,0.005999876331103056,0.0059245072906458415
