# Global annual emissions for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:21:19.890982+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,15.088417392920357,1.0539194256375644
1979,6,1979.46,16.063203143380093,1.0415406030729086
1980,6,1980.46,16.098310387359728,1.06074343261372
1981,6,1981.46,15.201235572347265,1.035168842473406
1982,6,1982.46,14.416939941079468,1.087509758574528
1983,6,1983.46,15.408093979077528,1.108431091100665
1984,6,1984.46,16.931438856951864,1.0830468443890973
1985,6,1985.46,18.649915475748543,1.1360754532964232
1986,6,1986.46,20.98478121441621,1.1962115326142018
1987,6,1987.46,21.02186531101566,1.2045232210727568
1988,6,1988.46,17.432386490136164,1.0892777827818296
1989,6,1989.46,15.058727226238227,1.0040544992777947
1990,6,1990.46,11.520404466392955,1.0467687791503615
1991,6,1991.46,8.09269381395296,0.9813472385381645
1992,6,1992.46,6.45470102731181,0.9219494775858559
1993,6,1993.46,5.355586950086335,0.918948464078
1994,6,1994.46,4.849841886816924,0.8944714059064961
1995,6,1995.46,4.047120464473563,0.9097262488565172
1996,6,1996.46,3.3063443546445743,0.9086865922341585
1997,6,1997.46,3.0612510920516662,0.8859591269777954
1998,6,1998.46,2.776427655779464,0.8264724215929857
1999,6,1999.46,2.43334037808054,0.8767795007379023
2000,6,2000.46,2.6218893968180446,0.8892357512615383
2001,6,2001.46,2.823231493050112,0.9277329304249732
2002,6,2002.46,2.1935773153044065,0.9204149543024087
2003,6,2003.46,1.858960177342638,0.9772246499017045
2004,6,2004.46,1.930763162003818,1.097539306233151
2005,6,2005.46,2.057646286952034,1.1159809370110272
2006,6,2006.46,2.3271375994206367,1.1607219946409026
2007,6,2007.46,2.5460968241904864,1.1739552079971844
2008,6,2008.46,2.4783874013924536,1.1445887166232507
2009,6,2009.46,2.2741440561908886,1.1288316910018055
2010,6,2010.46,1.9668530352473288,1.1600656551330266
2011,6,2011.46,1.6641454761396535,1.082781514894694
2012,6,2012.46,1.4154723211962283,1.0476948722468318
2013,6,2013.46,1.2746498443602492,1.0559933903147893
2014,6,2014.46,0.9652500963213604,1.0509453692348594
2015,6,2015.46,0.36745403310550834,0.9897736750723168
2016,6,2016.46,0.19594671712512426,0.9640075692398211
2017,6,2017.46,0.8465389844182135,0.9228501623887875
2018,6,2018.46,1.8703067427870612,0.9885176330473235
2019,6,2019.46,2.480557386497363,1.2765556353415826
2020,6,2020.46,2.578626132082839,1.6882521172276217
