# Global annual emissions with no systematic uncertainty for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-27 18:45:33.637373+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1978,6,1978.46,1.127208857687922,0.15785749774272548
1979,6,1979.46,1.3722252794382186,0.1490180535740764
1980,6,1980.46,1.6023563717162113,0.14307727535961698
1981,6,1981.46,1.8341308086001407,0.13371200665323335
1982,6,1982.46,2.0475275253025553,0.13305202233424773
1983,6,1983.46,2.2312756105529448,0.13723080478992963
1984,6,1984.46,2.3602623478195652,0.14135207905877248
1985,6,1985.46,2.414799359856254,0.1374321732707686
1986,6,1986.46,2.4155251398913253,0.13796317065153554
1987,6,1987.46,2.3399316861853743,0.13530195462509648
1988,6,1988.46,2.2022891455103526,0.13791181232093006
1989,6,1989.46,2.029510072451736,0.12931998641239703
1990,6,1990.46,1.8194157433538587,0.12311768002716995
1991,6,1991.46,1.6472491422955506,0.11824458621607303
1992,6,1992.46,1.4639868930135316,0.11489124021278968
1993,6,1993.46,1.3141598372356376,0.11939805742177828
1994,6,1994.46,1.1314949296156231,0.12402967876289521
1995,6,1995.46,0.931757535152141,0.12200657580459072
1996,6,1996.46,0.7338753734177619,0.11897182014067523
1997,6,1997.46,0.5790852593521177,0.11605206105037348
1998,6,1998.46,0.47635621784042725,0.11194428088111162
1999,6,1999.46,0.40052932365577215,0.11740275200650108
2000,6,2000.46,0.3745979107430217,0.11133092385634356
2001,6,2001.46,0.38316021010084106,0.10751649171525784
2002,6,2002.46,0.4125379341730917,0.11093877305849752
2003,6,2003.46,0.42620311387402277,0.1128712496720711
2004,6,2004.46,0.4264699620081185,0.10658037551187086
2005,6,2005.46,0.42242998773231505,0.10120489154846861
2006,6,2006.46,0.43615905928682625,0.10582309478333728
2007,6,2007.46,0.47845069405808616,0.10101671559144675
2008,6,2008.46,0.496582962199775,0.10054360270094359
2009,6,2009.46,0.4755934839350731,0.09369615997336403
2010,6,2010.46,0.48256353479224035,0.0842298935107479
2011,6,2011.46,0.5332136420270693,0.0787687721228797
2012,6,2012.46,0.5827622358897971,0.0766917790357594
2013,6,2013.46,0.5940912967537298,0.07640754761287771
2014,6,2014.46,0.5505044265629319,0.075816942398252
2015,6,2015.46,0.4904545306074856,0.07754062981661743
2016,6,2016.46,0.4890415156944545,0.07649638273259372
2017,6,2017.46,0.5488581210657316,0.08182748803510535
2018,6,2018.46,0.6299312495351738,0.08335619537108507
2019,6,2019.46,0.6571417723874848,0.0873067481520994
2020,6,2020.46,0.6369219217628274,0.12849653709934677
