# Global annual emissions for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:39.674527+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1999,6,1999.46,0.01691242718758101,0.030689577018578933
2000,6,2000.46,0.016165516308933748,0.029438212589425885
2001,6,2001.46,0.017678407759974205,0.028420675399027217
2002,6,2002.46,0.021940139541985645,0.02783535028817479
2003,6,2003.46,0.027378580546328354,0.026635457379430218
2004,6,2004.46,0.033545406877017195,0.02620363979883319
2005,6,2005.46,0.039449583019962105,0.025182786431591896
2006,6,2006.46,0.04382347890333605,0.024964048971088077
2007,6,2007.46,0.04608247762605885,0.025536525223460577
2008,6,2008.46,0.04538146294791675,0.02570612432373798
2009,6,2009.46,0.04391279900223751,0.025651242817469177
2010,6,2010.46,0.044643638576717166,0.02585493952039072
2011,6,2011.46,0.04860251018486139,0.025762305598612575
2012,6,2012.46,0.05604675344428608,0.025747736991574406
2013,6,2013.46,0.0655978022306438,0.02616133825906231
2014,6,2014.46,0.07670200470899359,0.026207587948598725
2015,6,2015.46,0.08853930162534825,0.026499609326527646
2016,6,2016.46,0.0993618062833828,0.02757604383371773
2017,6,2017.46,0.10821131204458047,0.028350805649378728
2018,6,2018.46,0.11481266821399089,0.029514831347072654
2019,6,2019.46,0.11870587243991365,0.03169018196217104
2020,6,2020.46,0.11997420336845148,0.03402994250278101
