# Semihemispheric monthly emissions for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:39.696929+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_monthly_emissions_box0,Semihemispheric_monthly_emissions_box1,Semihemispheric_monthly_emissions_box2,Semihemispheric_monthly_emissions_box3,Semihemispheric_monthly_emissions_1-sigma_box0,Semihemispheric_monthly_emissions_1-sigma_box1,Semihemispheric_monthly_emissions_1-sigma_box2,Semihemispheric_monthly_emissions_1-sigma_box3
1999,1,1999.0,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102219706743,2.1205399398393268,0.4508272988927757,0.21695451035627097
1999,2,1999.08,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102295408322,2.1205397560189887,0.45082729886930684,0.21695400429870865
1999,3,1999.17,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102371443555,2.1205395714225714,0.4508272989863363,0.2169534964445202
1999,4,1999.25,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102449048265,2.120539383051084,0.4508272992510797,0.2169529785558557
1999,5,1999.33,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102527812895,2.1205391919005163,0.4508272996698648,0.21695245338966526
1999,6,1999.42,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.804610260618291,2.120539001744037,0.45082730023661,0.2169519313176258
1999,7,1999.5,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102684301728,2.120538812233208,0.45082730095049545,0.2169514113786143
1999,8,1999.58,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.80461027618891,2.120538624047351,0.4508273018067227,0.21695089543099474
1999,9,1999.67,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102839121454,2.1205384367579367,0.45082730280471744,0.216950382293774
1999,10,1999.75,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.80461029158947,2.1205382506168187,0.45082730394083226,0.21694987265141222
1999,11,1999.83,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046102991867938,2.120538066449667,0.45082730520648945,0.21694936875598614
1999,12,1999.92,0.0002586678336232648,0.005305739799076787,0.005130559374829691,0.006217460180051263,1.8046103066004449,2.1205378867678433,0.4508273065771247,0.21694887746111646
2000,1,2000.0,-6.938893903907228e-18,0.005225541484128361,0.004948302202482088,0.005991672622323304,1.8051627422247918,2.1205578101589566,0.4508503379581818,0.21693619299524147
