# Global mole fraction growth rate for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:16:51.971588+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1978,1,1978.04,0.4446216838058318,0.01655052424911919
1978,2,1978.12,0.449815455800362,0.01662518763693728
1978,3,1978.21,0.4548235720207377,0.016703828343849515
1978,4,1978.29,0.45981452747935664,0.016782182281060612
1978,5,1978.37,0.46487283833676146,0.01685239063675714
1978,6,1978.46,0.47001495167032864,0.016908540973285438
1978,7,1978.54,0.47524139457888254,0.01695022386965377
1978,8,1978.62,0.48043996408752027,0.0169770534516391
1978,9,1978.71,0.48547426254859555,0.016991439132710954
1978,10,1978.79,0.4902399956513733,0.016999776893850075
1978,11,1978.87,0.49472210895644486,0.017013184071121474
1978,12,1978.96,0.49889496202192574,0.017040247032340985
1979,1,1979.04,0.502679071940614,0.01708258743769841
1979,2,1979.12,0.5061327327744294,0.01714128398146146
1979,3,1979.21,0.5094327375596532,0.017215353191118565
1979,4,1979.29,0.5127990051275946,0.01730058955739603
1979,5,1979.37,0.5163470559990682,0.01738841653837164
1979,6,1979.46,0.5201093715486251,0.017471274027040105
1979,7,1979.54,0.5240935494823435,0.017546710397074183
1979,8,1979.62,0.528160870537791,0.017613666989870637
1979,9,1979.71,0.5321322230442872,0.017674308419098592
1979,10,1979.79,0.5358565075933754,0.01773388432483643
1979,11,1979.87,0.5392782578372083,0.017800594936155035
1979,12,1979.96,0.5423330796781302,0.01787907768174869
1980,1,1980.04,0.5449017307011559,0.017966815575535422
1980,2,1980.12,0.5470206490174824,0.018060850529772444
1980,3,1980.21,0.5488507443002538,0.018157449341983593
1980,4,1980.29,0.5505904440310806,0.018251019546016913
1980,5,1980.37,0.5523378090147155,0.01833277812667666
1980,6,1980.46,0.5541201204635509,0.01839564491762352
1980,7,1980.54,0.5559532356274534,0.018437890280048972
1980,8,1980.62,0.5576956877929897,0.0184590207808961
1980,9,1980.71,0.5591676524983233,0.018461626608938908
1980,10,1980.79,0.5602299825901196,0.018451804897349273
1980,11,1980.87,0.5608543963648861,0.01843938974189642
1980,12,1980.96,0.5610164403313985,0.018431521559873827
1981,1,1981.04,0.5606493776532173,0.018429013619021842
1981,2,1981.12,0.5598546905849416,0.01843230446725494
1981,3,1981.21,0.5588473742328072,0.018440284408623553
1981,4,1981.29,0.5578594179053508,0.018448944232351626
