# Global annual mole fraction Jan for CFC-114a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:21:55.726642+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1978,12,1978.96,0.39457780656686897,0.012254087123849573
1979,12,1979.96,0.4360649304311566,0.013249167056461954
1980,12,1980.96,0.4789743305956318,0.014345628740829385
1981,12,1981.96,0.5229166306560222,0.015517980382885599
1982,12,1982.96,0.5680568872883568,0.01677950259418816
1983,12,1983.96,0.6149722612109393,0.018064357253677815
1984,12,1984.96,0.6641928432071802,0.019344285708987097
1985,12,1985.96,0.7152908729935928,0.020668402486707368
1986,12,1986.96,0.7672433231067344,0.022088094542547634
1987,12,1987.96,0.8181390837772066,0.023487363738124958
1988,12,1988.96,0.8649802806833966,0.02471977427172554
1989,12,1989.96,0.9051484175156096,0.025816816640001787
1990,12,1990.96,0.9370090238017269,0.02672867652381672
1991,12,1991.96,0.9606494643466404,0.02739730747979718
1992,12,1992.96,0.9780478559751898,0.027854003168702304
1993,12,1993.96,0.9915637760811733,0.028201182682680244
1994,12,1994.96,1.0031528405682226,0.028468316696179063
1995,12,1995.96,1.013572944636967,0.02880704608472778
1996,12,1996.96,1.0229972794212239,0.02917188858680603
1997,12,1997.96,1.0295896615529865,0.029413006227004556
1998,12,1998.96,1.0299962472020179,0.029409473661382402
1999,12,1999.96,1.0266680182005734,0.02926420759081268
2000,12,2000.96,1.0236403550216917,0.029190178681466252
2001,12,2001.96,1.0202214090532566,0.029096281659572468
2002,12,2002.96,1.0167759304080193,0.028985615517050763
2003,12,2003.96,1.014346575817284,0.028965407054714048
2004,12,2004.96,1.0148628443252348,0.029064729225805438
2005,12,2005.96,1.0177638164071092,0.02920908200361726
2006,12,2006.96,1.0218885499189023,0.02939847690067903
2007,12,2007.96,1.026635196478946,0.029597436173571016
2008,12,2008.96,1.0306932419439199,0.02973709923748013
2009,12,2009.96,1.0337357599894845,0.029830383333186307
2010,12,2010.96,1.036313639191811,0.02987991849553943
2011,12,2011.96,1.0389341465778903,0.029896894163813668
2012,12,2012.96,1.0417425999854302,0.029862490522235816
2013,12,2013.96,1.045130371365035,0.029873671101370233
2014,12,2014.96,1.050578270710093,0.0300205608238483
2015,12,2015.96,1.0589264884284912,0.03023441988796045
2016,12,2016.96,1.0706996066587129,0.030556426248088527
2017,12,2017.96,1.0856006420487876,0.030978040203600808
2018,12,2018.96,1.1022426988897753,0.03149140116205938
2019,12,2019.96,1.1188268357370903,0.032093533077900076
