# Global annual mole fraction for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:36:12.207256+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,1.065271484148228,0.041930625612212814
1979,6,1979.46,1.1366217726391117,0.04546377890217602
1980,6,1980.46,1.2213572649364075,0.04824778482207736
1981,6,1981.46,1.3182144253948498,0.05050275699987768
1982,6,1982.46,1.4267799255295266,0.05286845356426838
1983,6,1983.46,1.5466939093764271,0.05551259584121348
1984,6,1984.46,1.6753302281858369,0.058433625849360044
1985,6,1985.46,1.807886918124052,0.061552104243150565
1986,6,1986.46,1.9401504887284873,0.06463926887023132
1987,6,1987.46,2.0677789855307886,0.06741520386823054
1988,6,1988.46,2.1870088720487644,0.0697514683422335
1989,6,1989.46,2.2961749878877793,0.07201680730731046
1990,6,1990.46,2.3941053038101194,0.07434296488782148
1991,6,1991.46,2.4812815334272846,0.07667616688069917
1992,6,1992.46,2.5581477511635886,0.07870584761269087
1993,6,1993.46,2.625444177386686,0.08037858442029637
1994,6,1994.46,2.6832319726285108,0.08183898293829912
1995,6,1995.46,2.7297770729277957,0.0830310792576306
1996,6,1996.46,2.7653271932297057,0.08383758573619665
1997,6,1997.46,2.792403509830392,0.08429833396774114
1998,6,1998.46,2.8136556388119893,0.08473353243192078
1999,6,1999.46,2.830739637327582,0.08530474946433694
2000,6,2000.46,2.8457266935858403,0.08578492448927608
2001,6,2001.46,2.861126122480392,0.08616327940440922
2002,6,2002.46,2.87896223427153,0.0865398252743763
2003,6,2003.46,2.8993765608629647,0.08689321583893081
2004,6,2004.46,2.922236049542835,0.08740023250114586
2005,6,2005.46,2.946704807867493,0.08805091550886751
2006,6,2006.46,2.9691981026778493,0.0887246376110987
2007,6,2007.46,2.9861212704146443,0.08932786370613645
2008,6,2008.46,2.999824409918062,0.08964539639887917
2009,6,2009.46,3.015966359492975,0.08998343069152395
2010,6,2010.46,3.0367686079774194,0.0907025320836651
2011,6,2011.46,3.0616133391221045,0.09164134867183482
2012,6,2012.46,3.088665670651876,0.09246348265865752
2013,6,2013.46,3.115267167481123,0.09315119688874324
2014,6,2014.46,3.1385764889002488,0.09384034768444116
2015,6,2015.46,3.1596169046803144,0.0944402010969711
2016,6,2016.46,3.1828681703469086,0.09515224186660107
2017,6,2017.46,3.2105461386895127,0.09604465224285154
2018,6,2018.46,3.2428015294318864,0.096870691136762
2019,6,2019.46,3.277879874379107,0.09790737359291043
2020,6,2020.46,3.3121012618287504,0.09925703884178086
