# Global annual emissions with no systematic uncertainty for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:36:12.244376+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1978,6,1978.46,1.1185177628469114,0.14241274519634098
1979,6,1979.46,1.3684971200098743,0.13612285212204656
1980,6,1980.46,1.5972242313586804,0.12742863573311297
1981,6,1981.46,1.8149799625479242,0.12742761521134424
1982,6,1982.46,2.032369568084362,0.13371353518761792
1983,6,1983.46,2.2403710680334123,0.13936250864089691
1984,6,1984.46,2.3798212523394993,0.13386628963827912
1985,6,1985.46,2.435965135239943,0.13827046791421835
1986,6,1986.46,2.4306545186732396,0.13620439863832112
1987,6,1987.46,2.3378021067084664,0.13361794140327155
1988,6,1988.46,2.1935545897221984,0.12900664589808766
1989,6,1989.46,2.02697752105168,0.13123619751436172
1990,6,1990.46,1.8286773304029351,0.12361342662228325
1991,6,1991.46,1.6595377869858439,0.12000136100498197
1992,6,1992.46,1.4686801810928805,0.12057078920500265
1993,6,1993.46,1.314598006166261,0.122654201216822
1994,6,1994.46,1.1272934278795095,0.12352933822908425
1995,6,1995.46,0.9184616083714513,0.12300927998013236
1996,6,1996.46,0.7319677267065385,0.12065549007566406
1997,6,1997.46,0.5959114361230735,0.11809724450396404
1998,6,1998.46,0.4947123557801303,0.11553903117118398
1999,6,1999.46,0.4180031706748987,0.11748327364548018
2000,6,2000.46,0.3877843447626788,0.11290488059090013
2001,6,2001.46,0.39819408592876643,0.10942903128979138
2002,6,2002.46,0.44225031494759737,0.1156721790454402
2003,6,2003.46,0.4716829293208455,0.11415750755692557
2004,6,2004.46,0.5185159889762605,0.1072422762709744
2005,6,2005.46,0.5299617761936828,0.08758487758312972
2006,6,2006.46,0.4694576462728624,0.0808621072604353
2007,6,2007.46,0.3626270017490491,0.07717343072898109
2008,6,2008.46,0.3547149395610461,0.07531973367136154
2009,6,2009.46,0.42035203655459,0.07689430948125693
2010,6,2010.46,0.4941326960599926,0.0742966180619046
2011,6,2011.46,0.5535571772958485,0.0719373898619633
2012,6,2012.46,0.5783456497473672,0.0732127313479996
2013,6,2013.46,0.557002756213042,0.07223506797801453
2014,6,2014.46,0.4890312343303364,0.07064257823692427
2015,6,2015.46,0.48379333792129325,0.07120075119096798
2016,6,2016.46,0.5481392469427611,0.0750937128775573
2017,6,2017.46,0.6203945960357721,0.07126737733204933
2018,6,2018.46,0.6996517511693243,0.07228091720717283
2019,6,2019.46,0.7278093147526468,0.07612636782260677
2020,6,2020.46,0.6953546640219473,0.11285104844141278
